Date,Open Price,High Price,Low Price,Close Price,Adj Close,Average Price,Volume
04-06-21,3128,3156.85,3125,3138.5,3143.75,3140.46,1836060
07-06-21,3145,3190.45,3133.6,3187,3183.2,3157.52,2559821
08-06-21,3198,3231,3187.2,3199.35,3200.15,3212.89,2574057
09-06-21,3202,3220,3186.2,3199.7,3200.25,3202.19,1710925
10-06-21,3210,3224,3193,3216,3216.8,3210.54,1874324
11-06-21,3211.55,3309,3211,3279,3273.8,3269.42,3452954
14-06-21,3279,3308.7,3270.35,3277.15,3276.35,3284.58,1847360
15-06-21,3298,3298,3251.55,3262,3262.75,3275.11,1304985
16-06-21,3262.1,3294.7,3253,3270,3274.35,3273.56,1635552
17-06-21,3265.5,3336.05,3260,3328,3317.75,3295.52,2273413
18-06-21,3350.9,3358,3275,3303,3297.3,3312.52,3380431
21-06-21,3265,3286,3251.7,3273,3273.1,3270.48,1130569
22-06-21,3304,3327.05,3285,3304,3301.2,3309.41,1708688
23-06-21,3329,3329,3256.4,3267.3,3261.4,3277.84,1467104
24-06-21,3284,3383,3278.5,3370,3373.6,3344.69,4155204
25-06-21,3375.25,3399.65,3350,3371,3380.8,3377.11,2722861
28-06-21,3391.5,3391.5,3333,3342,3336.75,3345.72,1355238
29-06-21,3342,3366.3,3326.5,3335.25,3340.85,3344.11,1497322
30-06-21,3346,3382,3338.5,3351,3345.75,3356.8,1693146
01-07-21,3358,3362,3332.35,3338,3341.5,3343.83,990310
02-07-21,3331,3339.7,3295.2,3329,3325.45,3311.83,1682274
05-07-21,3342,3374,3302,3328,3321,3342.14,1972858
06-07-21,3313,3328,3256.1,3273.65,3262.3,3285.26,2159420
07-07-21,3275,3282.7,3241.6,3275.85,3274.95,3264.79,2640710
08-07-21,3298,3298,3231.9,3253,3258.5,3264.38,2485811
09-07-21,3250,3282,3201,3211.8,3208.15,3232.37,6365067
12-07-21,3235,3236,3188.35,3198.4,3193.1,3212.9,1892226
13-07-21,3214,3214,3175,3190.4,3187.55,3192.6,1809339
14-07-21,3187,3222,3185,3214.4,3214.55,3207.79,2044279
15-07-21,3227.6,3231.85,3194,3201.9,3202.95,3207.01,2232968
16-07-21,3213,3219.85,3192,3194.5,3194.8,3202.38,1256526
19-07-21,3180,3199.8,3176,3184.9,3184.6,3185.26,1597058
20-07-21,3184.6,3215,3156.15,3203.85,3205.8,3187.48,1811945
22-07-21,3190,3224.95,3190,3214.7,3216.35,3212.15,2859334
23-07-21,3230,3241.55,3206.65,3210,3212.85,3225.77,1776193
26-07-21,3200,3224.25,3190.85,3200.35,3197.55,3205.52,1259611
27-07-21,3200,3210,3161.15,3187.95,3182.95,3185.06,1121367
28-07-21,3188,3204.45,3132.4,3199.9,3197.8,3169.59,1660654
29-07-21,3200.25,3225.45,3190.3,3194,3195.8,3207.56,1731997
30-07-21,3219,3223.5,3162.35,3167.7,3167.45,3191.59,2999943
02-08-21,3180,3224.9,3167,3220,3219.4,3199.51,2608669
03-08-21,3229,3290,3218.95,3278.5,3284.9,3265.75,3804735
04-08-21,3300,3305.2,3261.2,3275,3273.95,3280.85,2929598
05-08-21,3275,3315,3262.5,3282.15,3283.95,3291.59,2534521
06-08-21,3272.55,3324,3265,3311,3309.8,3299.35,2292362
09-08-21,3323.9,3337,3310,3321,3322.7,3323.8,1510489
10-08-21,3315.6,3349.9,3315.6,3330.5,3333.9,3334.47,2040777
11-08-21,3350,3360,3327.1,3348,3344.2,3344.63,1929707
12-08-21,3326,3368,3326,3347,3351.75,3353.87,1310205
13-08-21,3360.75,3480,3357.5,3456.05,3463.4,3438.94,4363584
16-08-21,3460,3494.35,3436.5,3464.75,3472.95,3470.4,2083489
17-08-21,3482.1,3560.8,3463,3548,3553.05,3523.43,4336019
18-08-21,3573.85,3595,3536.6,3559.8,3560.55,3564.21,2631309
20-08-21,3506,3575,3500,3551.6,3559.5,3553.61,2836148
23-08-21,3580,3673,3561.9,3635,3637.4,3636.99,3744176
24-08-21,3657,3667.35,3594.4,3615.05,3613.2,3626.54,2511141
25-08-21,3610,3697.75,3607.05,3665,3659,3667.15,2123263
26-08-21,3660,3687.6,3647.9,3655,3671.85,3666.49,1902533
27-08-21,3666,3729.5,3651.1,3715,3720.15,3704.47,3944728
30-08-21,3715,3740.35,3687.6,3709,3701.3,3717.61,2033114
31-08-21,3709.4,3804.1,3703.45,3797.9,3786.45,3763.43,3207480
01-09-21,3796,3816.7,3707,3715,3714.95,3742.07,2643336
02-09-21,3734,3859.15,3722,3827.9,3836.75,3798.12,3403717
